Id,Date,TotalSteps,TotalDistance,SedentaryMinutes,TotalActiveMinutes,Calories
6117666160,2016-04-21,19542,15.0100002288818,579,324,4900
5577150313,2016-04-177,12231,9.14000034332275,525,396,4552
8877689391,2016-04-16,29326,25.2900009155273,888,552,4547
5577150313,2016-05-01,13368,9.98999977111816,499,444,4546
5577150313,2016-04-30,12363,9.23999977111816,621,415,4501
8877689391,2016-04-30,27745,26.7199993133545,1089,351,4398
5577150313,2016-04-24,15764,11.7799997329712,425,416,4392
5577150313,2016-04-16,14269,10.6599998474121,472,398,4274
8378563200,2016-04-211,15148,12.0100002288818,677,298,4236
8378563200,2016-04-14,13318,10.5600004196167,699,318,4163
8378563200,2016-04-18,13630,10.8100004196167,720,301,4157
8877689391,2016-05-07,12332,8.13000011444092,1036,404,4142
8378563200,2016-04-19,13070,10.3599996566772,737,293,4092
8378563200,2016-04-13,12386,9.81999969482422,680,299,4079
8378563200,2016-04-22,12200,9.67000007629395,769,284,4044
4388161847,2016-05-07,22770,17.5400009155273,508,436,4022
5577150313,2016-04-14,8596,6.42000007629395,662,324,4022
5577150313,2016-04-21,10830,8.09000015258789,670,359,4018
8877689391,2016-05-06,21727,19.3400001525879,1095,345,4015
5577150313,2016-04-15,12087,9.07999992370605,695,368,4005
8378563200,2016-04-25,12405,9.84000015258789,692,274,4005
8877689391,2016-04-15,13422,7.17000007629395,1052,388,3934
4388161847,2016-05-08,17298,14.3800001144409,576,323,3934
8877689391,2016-04-12,23186,20.3999996185303,1036,404,3921
8877689391,2016-04-23,11200,7.42999982833862,1032,408,3891
4020332650,2016-05-04,10252,7.34999990463257,531,405,3879
1644430081,2016-04-30,18213,13.2399997711182,816,482,3846
5577150313,2016-05-10,8869,6.65000009536743,639,335,3841
8877689391,2016-05-11,21420,19.5599994659424,1127,313,3832
8877689391,2016-04-27,23629,20.6499996185303,1104,336,3808
8877689391,2016-04-25,12986,8.73999977111816,1101,339,3802
5577150313,2016-05-03,11045,8.25,580,317,3795
8877689391,2016-04-14,21129,18.9799995422363,1061,379,3793
8378563200,2016-05-11,9143,7.25,763,266,3788
8378563200,2016-04-20,9388,7.44000005722046,763,259,3787
8378563200,2016-05-03,8712,6.90999984741211,822,286,3784
8378563200,2016-05-05,8567,6.78999996185303,764,283,3783
8378563200,2016-04-26,16208,12.8500003814697,593,269,3763
6775888955,2016-04-20,10771,7.71999979019165,1079,361,3727
8378563200,2016-05-09,8382,6.65000009536743,772,255,3721
8877689391,2016-05-09,20226,18.25,1131,309,3710
4702921684,2016-04-23,15126,12.2700004577637,469,483,3691
4702921684,2016-05-07,14370,11.6499996185303,577,490,3683
8877689391,2016-04-20,19948,18.1100006103516,1123,317,3679
8877689391,2016-04-19,18785,17.3999996185303,1131,309,3676
8378563200,2016-04-15,14461,11.4700002670288,729,273,3666
8877689391,2016-04-21,19377,17.6200008392334,1119,321,3659
4020332650,2016-04-12,8539,6.11999988555908,712,350,3654
8378563200,2016-05-06,7045,5.59000015258789,831,245,3644
8378563200,2016-04-12,7626,6.05000019073486,723,236,3635
5577150313,2016-04-18,9893,7.3899998664856,623,276,3625
8053475328,2016-05-08,22026,17.6499996185303,1073,367,3589
8378563200,2016-05-10,6582,5.21999979019165,840,228,3586
5577150313,2016-04-28,9841,7.42999982833862,692,291,3580
8053475328,2016-04-24,22988,17.9500007629395,1096,344,3577
8877689391,2016-04-13,15337,9.57999992370605,1098,342,3566
8053475328,2016-04-23,22359,17.1900005340576,741,362,3554
8877689391,2016-04-17,15118,8.86999988555908,1060,380,3545
4388161847,2016-04-22,12139,9.34000015258789,945,322,3544
5577150313,2016-04-29,7924,5.92000007629395,739,298,3544
4702921684,2016-04-24,15050,12.2200002670288,542,391,3538
8583815059,2016-04-29,15168,11.8299999237061,1069,371,3513
5577150313,2016-04-19,12574,9.42000007629395,733,242,3501
1644430081,2016-04-16,15300,11.1199998855591,1135,305,3493
8378563200,2016-05-02,6064,4.80999994277954,802,209,3491
8877689391,2016-05-04,18193,16.2999992370605,1154,286,3477
8877689391,2016-04-24,16674,15.7399997711182,1148,292,3455
4020332650,2016-05-05,11728,8.43000030517578,916,276,3429
8877689391,2016-04-22,18258,16.3099994659424,1141,299,3427
4388161847,2016-05-06,13175,10.1300001144409,1100,340,3425
8053475328,2016-04-14,20159,15.9700002670288,1123,317,3411
8053475328,2016-04-15,20669,16.2399997711182,1142,298,3410
5577150313,2016-04-12,8135,6.07999992370605,728,242,3405
1644430081,2016-05-07,13372,9.72000026702881,1139,301,3404
8053475328,2016-04-25,20500,15.6899995803833,1104,336,3403
4702921684,2016-04-17,12692,10.289999961853,437,380,3394
5577150313,2016-04-25,6393,4.78000020980835,743,313,3374
8378563200,2016-05-01,11419,9.0600004196167,669,208,3369
8378563200,2016-04-16,11207,8.89000034332275,563,227,3363
8053475328,2016-05-07,19769,15.6700000762939,1076,289,3331
5577150313,2016-04-22,9172,6.84999990463257,823,292,3329
1644430081,2016-05-06,9787,7.11999988555908,1054,386,3328
4702921684,2016-04-16,11140,9.02999973297119,556,362,3328
6290855005,2016-05-01,9837,7.44000005722046,1055,385,3327
1644430081,2016-05-03,12850,9.34000015258789,1115,325,3324
4388161847,2016-04-23,13236,10.1800003051758,749,278,3306
1644430081,2016-04-19,11256,8.18000030517578,1099,341,3300
5577150313,2016-04-27,6805,5.1399998664856,773,269,3294
4388161847,2016-05-03,12727,9.78999996185303,984,342,3290
4388161847,2016-04-25,12961,9.97000026702881,1054,343,3288
4702921684,2016-05-08,12857,10.4300003051758,1019,326,3287
4388161847,2016-04-30,12533,9.64000034332275,537,357,3283
4388161847,2016-04-18,11009,9.10000038146973,1017,274,3274
8583815059,2016-05-05,12427,9.6899995803833,1370,70,3266
1644430081,2016-04-14,11037,8.02000045776367,1125,315,3226
8053475328,2016-04-17,18827,13.6899995803833,1113,327,3213
8583815059,2016-05-03,12015,9.36999988555908,1440,0,3212
1644430081,2016-04-12,10694,7.76999998092651,1131,309,3199
5577150313,2016-04-20,8330,6.21999979019165,773,216,3192
8053475328,2016-04-12,18060,14.1199998855591,1193,247,3186
7007744171,2016-04-29,20067,14.3000001907349,961,479,3180
4702921684,2016-05-10,10613,8.60999965667725,701,300,3172
6290855005,2016-04-17,7851,5.94000005722046,1172,268,3171
4702921684,2016-04-29,9930,8.05000019073486,692,298,3165
8583815059,2016-04-30,10085,7.86999988555908,1093,347,3164
4388161847,2016-05-04,12375,9.52000045776367,632,307,3162
2022484408,2016-04-21,12453,8.73999977111816,1028,412,3158
5577150313,2016-04-23,7638,5.71000003814697,627,271,3152
4388161847,2016-05-02,10096,8.39999961853027,935,241,3147
4702921684,2016-05-03,9454,7.67000007629395,729,313,3145
8583815059,2016-04-27,12474,9.72999954223633,1229,211,3142
8053475328,2016-04-13,16433,13.3500003814697,1177,263,3140
8053475328,2016-04-18,17076,12.6599998474121,1137,303,3133
1644430081,2016-04-26,9919,7.21000003814697,1165,275,3123
4702921684,2016-04-30,10144,8.22999954223633,728,303,3115
8053475328,2016-04-19,15929,12.4799995422363,1152,288,3114
8378563200,2016-05-04,7875,6.23999977111816,680,196,3110
1644430081,2016-04-28,9405,6.84000015258789,1157,283,3108
8053475328,2016-04-21,16057,12.5100002288818,1164,276,3103
8792009665,2016-04-29,8360,5.34999990463257,634,400,3101
7007744171,2016-04-20,15566,11.3100004196167,1000,440,3096
8583815059,2016-04-26,10499,8.1899995803833,1134,306,3093
4388161847,2016-04-13,10993,8.44999980926514,1275,165,3092
4020332650,2016-05-08,5862,4.19999980926514,775,263,3089
5577150313,2016-04-26,5325,3.98000001907349,759,251,3088
4388161847,2016-04-20,10553,8.11999988555908,696,289,3083
4388161847,2016-04-27,11193,8.60999965667725,684,300,3074
4388161847,2016-04-16,6580,5.05999994277954,609,268,3073
4388161847,2016-04-21,10055,7.73000001907349,853,291,3069
4702921684,2016-05-11,9810,7.96000003814697,784,286,3069
4388161847,2016-04-15,8758,6.73000001907349,837,299,3066
4702921684,2016-04-25,9167,7.42999982833862,730,291,3064
8053475328,2016-04-28,15447,12.3999996185303,1188,252,3062
8378563200,2016-04-27,7359,5.84000015258789,676,200,3061
4388161847,2016-05-10,10299,7.92000007629395,648,294,3061
4702921684,2016-04-20,8793,7.13000011444092,717,291,3061
8877689391,2016-04-28,14890,11.3000001907349,1143,297,3060
7007744171,2016-04-25,18229,13.3400001525879,986,454,3055
8877689391,2016-05-05,14055,10.6700000762939,1170,270,3052
4020332650,2016-04-16,1982,1.41999995708466,1222,141,3051
8053475328,2016-04-20,15108,12.1899995803833,695,252,3043
4702921684,2016-04-28,9023,7.32000017166138,738,255,3033
8053475328,2016-05-03,15484,11.8999996185303,1166,274,3023
4388161847,2016-04-19,10181,7.82999992370605,704,285,3015
5577150313,2016-05-02,7439,5.55999994277954,732,292,3014
4388161847,2016-05-09,10218,7.8600001335144,1020,283,3013
4702921684,2016-04-18,9105,7.38000011444092,890,243,3013
8583815059,2016-04-23,9423,7.34999990463257,1151,289,3012
1644430081,2016-04-17,8757,6.36999988555908,1212,228,3011
1644430081,2016-05-09,6643,4.82999992370605,1099,341,3008
4702921684,2016-05-05,8614,6.98999977111816,745,254,3006
4702921684,2016-05-04,8161,6.61999988555908,757,270,3004
5577150313,2016-05-05,7550,5.6399998664856,1153,209,3004
4388161847,2016-04-14,8863,6.82000017166138,945,264,2998
7086361926,2016-04-20,14365,10.6400003433228,797,245,2997
7086361926,2016-04-30,14560,9.40999984741211,584,367,2995
4702921684,2016-05-09,8232,6.67999982833862,746,265,2990
1644430081,2016-05-08,6724,4.8899998664856,991,295,2987
4702921684,2016-04-14,7860,6.36999988555908,772,271,2984
8378563200,2016-04-29,6175,4.90000009536743,767,182,2982
4388161847,2016-04-29,9232,7.09999990463257,1175,265,2979
7007744171,2016-05-03,14510,10.8699998855591,1021,419,2976
4020332650,2016-05-07,6132,4.40000009536743,1256,184,2975
4388161847,2016-04-28,10074,7.75,878,262,2969
7086361926,2016-05-09,13566,9.10999965667725,743,288,2960
4388161847,2016-04-12,10122,7.78000020980835,1440,0,2955
4388161847,2016-05-11,10201,7.84000015258789,858,282,2954
6290855005,2016-04-14,7671,5.80000019073486,1077,363,2952
4020332650,2016-04-15,1882,1.35000002384186,1299,141,2951
8053475328,2016-05-05,14990,11.5100002288818,1208,232,2950
4702921684,2016-04-12,7213,5.88000011444092,718,263,2947
8583815059,2016-05-09,9877,7.69999980926514,1260,180,2947
7086361926,2016-04-19,10688,7.28999996185303,671,260,2944
8583815059,2016-04-22,8687,6.78000020980835,1170,270,2944
8583815059,2016-05-08,9217,7.19000005722046,1183,257,2940
7007744171,2016-04-26,15090,10.1000003814697,978,462,2939
7007744171,2016-04-12,14172,10.289999961853,1024,416,2937
7007744171,2016-05-05,15010,11.1000003814697,1047,393,2933
4388161847,2016-04-26,9461,7.28000020980835,673,261,2929
4020332650,2016-05-10,5546,3.98000001907349,774,206,2926
8053475328,2016-05-10,14810,11.3599996566772,1219,221,2926
4388161847,2016-05-01,10255,7.8899998664856,579,268,2926
7086361926,2016-05-06,12461,8.38000011444092,834,273,2924
8053475328,2016-05-04,14581,11.1499996185303,1220,220,2918
8378563200,2016-04-23,5709,4.53000020980835,740,165,2908
4702921684,2016-04-27,7047,5.71999979019165,733,255,2908
6290855005,2016-04-13,7142,5.40000009536743,1090,350,2905
1644430081,2016-04-13,8001,5.82000017166138,1259,181,2902
4388161847,2016-05-05,9603,7.38000011444092,896,250,2899
4702921684,2016-04-13,6877,5.57999992370605,777,258,2898
2022484408,2016-04-20,15112,10.6700000762939,1053,387,2897
6290855005,2016-04-15,9501,7.17999982833862,1112,328,2896
4702921684,2016-04-15,6506,5.28000020980835,944,265,2896
8792009665,2016-04-30,7174,4.59000015258789,749,331,2896
8583815059,2016-05-02,8469,6.6100001335144,1440,0,2894
7007744171,2016-04-22,15299,10.2399997711182,1065,375,2889
8583815059,2016-04-24,8286,6.46000003814697,1188,252,2889
4388161847,2016-04-24,10243,7.88000011444092,584,261,2885
8378563200,2016-04-28,5417,4.30000019073486,711,160,2884
8583815059,2016-04-21,8538,6.65999984741211,1229,211,2883
8053475328,2016-04-16,14549,11.1099996566772,1255,185,2867
6117666160,2016-04-15,14019,10.5900001525879,921,519,2865
7086361926,2016-04-28,11584,7.80000019073486,810,263,2862
8877689391,2016-04-26,11101,8.43000030517578,1157,283,2860
8053475328,2016-05-06,13953,11.0,1245,195,2859
4702921684,2016-05-06,6943,5.63000011444092,682,224,2859
4702921684,2016-05-02,7245,5.92000007629395,1131,240,2859
8053475328,2016-04-27,12422,9.81999969482422,1187,253,2852
8877689391,2016-05-08,10686,8.10999965667725,1174,266,2847
7086361926,2016-04-22,9753,6.53000020980835,762,270,2846
8583815059,2016-05-10,8240,6.42999982833862,1226,214,2846
8053475328,2016-04-26,12685,9.61999988555908,1182,258,2846
6290855005,2016-04-30,6744,5.09999990463257,1116,324,2843
6290855005,2016-04-19,7142,5.40000009536743,1119,321,2839
7007744171,2016-04-28,15128,10.1199998855591,1007,433,2836
8877689391,2016-05-10,10733,8.14999961853027,1187,253,2832
7007744171,2016-04-18,14816,10.9799995422363,1077,363,2832
7007744171,2016-04-27,13541,10.2200002670288,1041,399,2830
4020332650,2016-05-03,4496,3.22000002861023,950,174,2828
6117666160,2016-04-16,14450,10.9099998474121,502,540,2828
8877689391,2016-05-03,10818,8.21000003814697,1189,251,2817
4702921684,2016-04-19,6708,5.44000005722046,757,197,2812
7007744171,2016-04-19,14194,10.4799995422363,1066,374,2812
8583815059,2016-05-07,6117,4.76999998092651,1190,250,2810
8053475328,2016-05-11,12209,9.39999961853027,1189,251,2809
6290855005,2016-05-06,6116,4.61999988555908,1135,305,2806
1644430081,2016-04-18,7132,5.19000005722046,1271,169,2806
8583815059,2016-05-11,8701,6.78999996185303,1106,253,2804
7086361926,2016-05-10,14433,10.789999961853,1182,201,2800
8378563200,2016-05-07,4468,3.53999996185303,851,158,2799
1644430081,2016-05-10,9167,6.65999984741211,1254,186,2799
6775888955,2016-04-18,8294,5.94999980926514,1233,207,2798
2022484408,2016-05-10,12798,8.97999954223633,1084,356,2797
6290855005,2016-04-22,6238,4.71999979019165,1138,302,2796
8053475328,2016-04-29,12315,9.64999961853027,1215,225,2794
2022484408,2016-04-26,10119,7.19000005722046,1086,354,2793
8877689391,2016-05-01,10930,8.31999969482422,1226,214,2786
4020332650,2016-05-09,4556,3.26999998092651,1225,181,2785
4702921684,2016-04-26,6108,4.94999980926514,765,225,2784
6290855005,2016-04-16,8301,6.28000020980835,1182,258,2783
2022484408,2016-04-17,15112,11.3999996185303,1052,388,2782
7086361926,2016-04-26,10387,7.07000017166138,726,235,2781
8792009665,2016-04-28,6157,3.94000005722046,714,310,2780
7086361926,2016-04-12,11317,8.40999984741211,745,218,2772
6290855005,2016-04-25,7802,5.90000009536743,1180,260,2771
2022484408,2016-04-18,14131,10.0699996948242,1078,362,2770
6290855005,2016-04-18,6885,5.21000003814697,1169,271,2766
8053475328,2016-05-09,12465,9.38000011444092,1214,226,2765
7007744171,2016-04-21,13744,9.1899995803833,1049,391,2763
8877689391,2016-04-18,11423,8.67000007629395,1215,225,2761
8583815059,2016-04-28,6174,4.82000017166138,1209,231,2757
5577150313,2016-05-04,5206,3.89000010490417,631,175,2755
7086361926,2016-05-02,10052,6.80999994277954,737,231,2754
7086361926,2016-05-03,10288,6.76000022888184,761,245,2754
7086361926,2016-04-25,10091,6.82000017166138,706,237,2752
2022484408,2016-05-03,12183,8.73999977111816,1104,336,2752
1644430081,2016-04-15,5263,3.82999992370605,1263,177,2750
8792009665,2016-04-23,5245,3.35999989509583,795,285,2748
6290855005,2016-04-27,5565,4.21000003814697,1153,287,2743
7086361926,2016-04-18,9827,6.71000003814697,1136,226,2743
7007744171,2016-04-13,12862,9.64999961853027,1101,339,2742
8378563200,2016-04-24,3703,2.94000005722046,734,135,2741
7086361926,2016-05-07,12827,8.47999954223633,621,271,2739
7086361926,2016-05-11,9572,6.51999998092651,757,225,2735
7086361926,2016-04-14,9123,6.11999988555908,787,256,2734
2022484408,2016-04-30,18387,12.9099998474121,1043,397,2732
7086361926,2016-05-01,12390,8.06999969482422,685,303,2730
4702921684,2016-04-21,6530,5.30000019073486,901,189,2729
6290855005,2016-05-02,6781,5.13000011444092,1172,268,2725
6290855005,2016-05-04,5832,4.40999984741211,1168,272,2718
6290855005,2016-05-08,7706,5.82999992370605,1189,251,2712
2022484408,2016-05-09,13379,9.39000034332275,1061,379,2709
4020332650,2016-05-06,4369,3.13000011444092,855,177,2704
6290855005,2016-04-24,5896,4.46000003814697,1182,258,2703
6290855005,2016-04-20,6361,4.80999994277954,1182,258,2701
8877689391,2016-04-29,9733,7.3899998664856,1207,233,2698
1644430081,2016-05-01,6132,4.46000003814697,908,173,2696
8583815059,2016-04-16,5319,4.15000009536743,1440,0,2693
7086361926,2016-04-27,11107,8.34000015258789,829,206,2693
1624580081,2016-05-01,36019,28.0300006866455,1020,420,2690
6290855005,2016-04-28,5731,4.32999992370605,1185,255,2687
8378563200,2016-05-08,2943,2.32999992370605,621,139,2685
8583815059,2016-05-06,5843,4.55999994277954,1250,190,2683
6290855005,2016-05-05,6339,4.78999996185303,1201,239,2682
1644430081,2016-04-23,6637,4.82999992370605,1265,175,2677
6290855005,2016-05-03,6047,4.57000017166138,1200,240,2671
2347167796,2016-04-16,22244,15.0799999237061,968,406,2670
7007744171,2016-04-14,11179,8.23999977111816,1096,344,2668
8583815059,2016-04-19,5697,4.44000005722046,1257,183,2668
7007744171,2016-04-24,11085,7.42000007629395,1021,419,2667
4558609924,2016-05-08,6543,4.32999992370605,1019,339,2666
6290855005,2016-04-23,0,0.0,1407,33,2664
8378563200,2016-04-30,2946,2.33999991416931,780,121,2660
8053475328,2016-04-22,10520,8.28999996185303,1260,180,2655
7086361926,2016-05-04,10988,8.3100004196167,843,192,2655
8583815059,2016-04-13,5571,4.34999990463257,1252,188,2654
6117666160,2016-04-23,11495,8.68000030517578,468,512,2651
8583815059,2016-04-12,5014,3.91000008583069,1237,203,2650
2022484408,2016-05-04,11768,8.28999996185303,1105,335,2649
8583815059,2016-04-20,5273,4.1100001335144,1246,194,2647
4020332650,2016-05-11,3689,2.65000009536743,1296,144,2645
5577150313,2016-05-06,4950,3.70000004768372,1304,136,2643
